"kingdom","phylum","class","order","family","genus","species"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella","Granulicatella_SGB8255"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","GGB3478","GGB3478_SGB4643"
"Bacteria","Firmicutes","CFGB3002","OFGB3002","FGB3002","GGB9464","GGB9464_SGB14857"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus_salivarius"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridiaceae_unclassified","Clostridiaceae_unclassified_SGB15090"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_vestibularis"
"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio_fairfieldensis"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_sobrinus"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillospiraceae_unclassified","Oscillospiraceae_unclassified_SGB15256"
"Bacteria","Firmicutes","CFGB2949","OFGB2949","FGB2949","GGB9290","GGB9290_SGB14247"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium","Clostridium_scindens"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9640","GGB9640_SGB15115"
"Bacteria","Firmicutes","CFGB1765","OFGB1765","FGB1765","GGB4566","GGB4566_SGB6305"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_mutans"
"Bacteria","Firmicutes","CFGB9828","OFGB9828","FGB9828","GGB35597","GGB35597_SGB49163"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB33469","GGB33469_SGB15237"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_unclassified","Eubacteriales_unclassified","Eubacteriales_bacterium"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Enterocloster","Enterocloster_clostridioformis"
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","Olsenella_profusa"
"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_licheniformis"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Lactonifactor","Lactonifactor_longoviformis"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Zongyangia","Zongyangia_hominis"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Lawsonibacter","Lawsonibacter_faecis"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillospiraceae_unclassified","Clostridium_methylpentosum"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerostipes","Anaerostipes_caccae"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_anginosus"
"Bacteria","Firmicutes","CFGB1473","OFGB1473","FGB1473","GGB3730","GGB3730_SGB5060"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus_fermentum"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Simiaoa","Simiaoa_sunii"
"Bacteria","Firmicutes","CFGB3054","OFGB3054","FGB3054","GGB9583","GGB9583_SGB15004"
"Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium_dentium"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_sanguinis"
"Bacteria","Firmicutes","CFGB1347","OFGB1347","FGB1347","GGB3288","GGB3288_SGB4342"
"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_subtilis"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_sp_MCC353"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_gasseri"
"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_velezensis"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium","Clostridium_hylemonae"
"Bacteria","Firmicutes","CFGB1765","OFGB1765","FGB1765","GGB4567","GGB4567_SGB6307"
"Bacteria","Firmicutes","CFGB74971","OFGB74971","FGB74971","GGB9334","GGB9334_SGB14297"
"Bacteria","Actinobacteria","CFGB77988","OFGB77988","FGB77988","GGB9361","GGB9361_SGB14336"
"Bacteria","Firmicutes","CFGB4806","OFGB4806","FGB4806","GGB51647","GGB51647_SGB4348"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Merdimonas","Merdimonas_faecis"
"Bacteria","Firmicutes","CFGB3054","OFGB3054","FGB3054","GGB9691","GGB9691_SGB15198"
"Bacteria","Firmicutes","CFGB3071","OFGB3071","FGB3071","GGB9780","GGB9780_SGB15400"
"Bacteria","Firmicutes","CFGB9718","OFGB9718","FGB9718","GGB3569","GGB3569_SGB4776"
"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_bouchesdurhonensis"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium","Lachnoclostridium_phocaeense"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lacticaseibacillus","Lacticaseibacillus_rhamnosus"
"Bacteria","Firmicutes","CFGB1765","OFGB1765","FGB1765","GGB4592","GGB4592_SGB58484"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lacticaseibacillus","Lacticaseibacillus_paracasei"
"Bacteria","Firmicutes","CFGB1249","OFGB1249","FGB1249","GGB3034","GGB3034_SGB4030"
"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","GGB9365","GGB9365_SGB14342"
"Bacteria","Firmicutes","CFGB45503","OFGB45503","FGB45503","GGB48165","GGB48165_SGB66168"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3446","GGB3446_SGB4597"
"Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium_sp_ET69"
"Bacteria","Firmicutes","CFGB3038","OFGB3038","FGB3038","GGB9529","GGB9529_SGB53518"
"Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium_adolescentis"
"Bacteria","Firmicutes","CFGB3043","OFGB3043","FGB3043","GGB9551","GGB9551_SGB14958"
"Bacteria","Firmicutes","CFGB2898","OFGB2898","FGB2898","GGB9210","GGB9210_SGB14149"
"Bacteria","Firmicutes","CFGB1249","OFGB1249","FGB1249","GGB3033","GGB3033_SGB4028"
"Bacteria","Firmicutes","CFGB2985","OFGB2985","FGB2985","GGB9348","GGB9348_SGB14315"
"Bacteria","Candidatus_Melainabacteria","CFGB2107","OFGB2107","FGB2107","GGB6012","GGB6012_SGB8640"
"Bacteria","Firmicutes","CFGB38703","OFGB38703","FGB38703","GGB44201","GGB44201_SGB61600"
"Bacteria","Firmicutes","CFGB1249","OFGB1249","FGB1249","GGB3033","GGB3033_SGB4029"
"Bacteria","Firmicutes","CFGB11739","OFGB11739","FGB11739","GGB34231","GGB34231_SGB47113"
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacter","Oxalobacter_formigenes"
"Bacteria","Firmicutes","CFGB1374","OFGB1374","FGB1374","GGB3352","GGB3352_SGB4436"
"Bacteria","Firmicutes","CFGB77202","OFGB77202","FGB77202","GGB34900","GGB34900_SGB14891"
"Bacteria","Firmicutes","CFGB1765","OFGB1765","FGB1765","GGB4583","GGB4583_SGB6334"
"Bacteria","Firmicutes","CFGB3069","OFGB3069","FGB3069","GGB9770","GGB9770_SGB73065"
"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","GGB9832","GGB9832_SGB15478"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Kineothrix","Kineothrix_SGB4886"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3678","GGB3678_SGB4992"
"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinobaculum","Actinobaculum_sp_oral_taxon_183"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Eisenbergiella","Eisenbergiella_sp_OF01_20"
"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia_SGB17158"
"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia_SGB17157"
"Bacteria","Tenericutes","CFGB1787","OFGB1787","FGB1787","GGB4745","GGB4745_SGB6571"
"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_dentalis"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospira","Lachnospira_pectinoschiza"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Longibaculum","Longibaculum_muris"
"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_naeslundii"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3504","GGB3504_SGB4680"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_sp_CBA7301"
"Bacteria","Firmicutes","CFGB3038","OFGB3038","FGB3038","GGB9532","GGB9532_SGB14933"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia_sp_An46"
"Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium_durum"
"Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium_angulatum"
"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","GGB9424","GGB9424_SGB14794"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus_SGB4421"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_unclassified","Eubacteriales_unclassified","Eubacteriales_unclassified_SGB15150"
"Bacteria","Firmicutes","CFGB1227","OFGB1227","FGB1227","GGB3002","GGB3002_SGB3993"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Leuconostoc","Leuconostoc_carnosum"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_dispar"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3600","GGB3600_SGB4861"
"Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium_animalis"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium_sp_c_25"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_sp_NSJ_42"
"Bacteria","Firmicutes","CFGB3047","OFGB3047","FGB3047","GGB52130","GGB52130_SGB14966"
"Bacteria","Firmicutes","CFGB1292","OFGB1292","FGB1292","GGB3109","GGB3109_SGB4119"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_delbrueckii"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Faecalicatena","Faecalicatena_orotica"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Faecalimonas","Faecalimonas_umbilicata"
"Bacteria","Firmicutes","CFGB45503","OFGB45503","FGB45503","GGB9790","GGB9790_SGB15413"
"Bacteria","Firmicutes","CFGB1538","OFGB1538","FGB1538","GGB3892","GGB3892_SGB5290"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3444","GGB3444_SGB4594"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Mediterraneibacter","Mediterraneibacter_SGB4598"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Robinsoniella","Robinsoniella_peoriensis"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB58071","GGB58071_SGB79702"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9710","GGB9710_SGB15239"
"Bacteria","Firmicutes","CFGB1354","OFGB1354","FGB1354","GGB3304","GGB3304_SGB4365"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9636","GGB9636_SGB15108"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_clarus"
"Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Cloacibacillus","Cloacibacillus_SGB15503"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB36331","GGB36331_SGB53806"
"Bacteria","Firmicutes","CFGB2898","OFGB2898","FGB2898","GGB9211","GGB9211_SGB14151"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3617","GGB3617_SGB4891"
"Bacteria","Bacteroidota","CFGB629","OFGB629","FGB629","GGB1495","GGB1495_SGB2071"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9635","GGB9635_SGB15102"
"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanosphaera","Methanosphaera_stadtmanae"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_unclassified","Eubacteriales_unclassified","Bacteroides_pectinophilus"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Paraprevotella","Paraprevotella_clara"
"Bacteria","Firmicutes","CFGB3054","OFGB3054","FGB3054","GGB9687","GGB9687_SGB15191"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3664","GGB3664_SGB4976"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9634","GGB9634_SGB15101"
"Bacteria","Candidatus_Melainabacteria","CFGB2107","OFGB2107","FGB2107","GGB6006","GGB6006_SGB8631"
"Bacteria","Firmicutes","CFGB2979","OFGB2979","FGB2979","GGB40351","GGB40351_SGB14301"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3733","GGB3733_SGB5066"
"Bacteria","Firmicutes","CFGB2941","OFGB2941","FGB2941","GGB9275","GGB9275_SGB14227"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","GGB1550","GGB1550_SGB2135"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","GGB51454","GGB51454_SGB71784"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9469","GGB9469_SGB14863"
"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Raoultibacter","Raoultibacter_timonensis"
"Bacteria","Firmicutes","CFGB3054","OFGB3054","FGB3054","GGB9690","GGB9690_SGB15196"
"Bacteria","Firmicutes","CFGB9989","OFGB9989","FGB9989","GGB9712","GGB9712_SGB15242"
"Bacteria","Candidatus_Melainabacteria","CFGB2106","OFGB2106","FGB2106","GGB5979","GGB5979_SGB8597"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_pectinovora"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9634","GGB9634_SGB15097"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_salyersiae"
"Bacteria","Firmicutes","CFGB1325","OFGB1325","FGB1325","GGB3175","GGB3175_SGB4191"
"Bacteria","Firmicutes","CFGB1798","OFGB1798","FGB1798","GGB4768","GGB4768_SGB6601"
"Bacteria","Firmicutes","CFGB3054","OFGB3054","FGB3054","GGB35551","GGB35551_SGB53794"
"Bacteria","Firmicutes","CFGB72899","OFGB72899","FGB72899","GGB4613","GGB4613_SGB6388"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Dysosmobacter","Dysosmobacter_sp_Marseille_Q4140"
"Bacteria","Firmicutes","CFGB3054","OFGB3054","FGB3054","GGB9582","GGB9582_SGB15001"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9618","GGB9618_SGB15065"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9613","GGB9613_SGB15048"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB34228","GGB34228_SGB53814"
"Bacteria","Firmicutes","CFGB78645","OFGB78645","FGB78645","GGB33539","GGB33539_SGB53381"
"Bacteria","Firmicutes","CFGB5194","OFGB5194","FGB5194","GGB9466","GGB9466_SGB14859"
"Bacteria","Verrucomicrobia","Opitutae","Puniceicoccales","Puniceicoccaceae","GGB6123","GGB6123_SGB8768"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Wujia","Wujia_chipingensis"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_SGB4750"
"Bacteria","Firmicutes","CFGB2964","OFGB2964","FGB2964","GGB9309","GGB9309_SGB14270"
"Bacteria","Firmicutes","CFGB79294","OFGB79294","FGB79294","GGB9676","GGB9676_SGB15176"
"Bacteria","Firmicutes","CFGB3054","OFGB3054","FGB3054","GGB9695","GGB9695_SGB15211"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospiraceae_unclassified","Lachnospiraceae_unclassified_SGB4708"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB38239","GGB38239_SGB47716"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacteriaceae_unclassified","Eubacteriaceae_bacterium_CHKCI004"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactiplantibacillus","Lactiplantibacillus_plantarum"
"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_stercorea"
"Bacteria","Firmicutes","CFGB1374","OFGB1374","FGB1374","GGB3351","GGB3351_SGB4434"
"Bacteria","Firmicutes","CFGB2945","OFGB2945","FGB2945","GGB9282","GGB9282_SGB14235"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9611","GGB9611_SGB15045"
"Bacteria","Firmicutes","CFGB45555","OFGB45555","FGB45555","GGB71575","GGB71575_SGB98320"
"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Adlercreutzia_sp_JBNU_10"
"Bacteria","Firmicutes","CFGB3026","OFGB3026","FGB3026","GGB9508","GGB9508_SGB14905"
"Bacteria","Firmicutes","CFGB2890","OFGB2890","FGB2890","GGB9199","GGB9199_SGB14138"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Intestinibacillus","Intestinibacillus_massiliensis"
"Bacteria","Firmicutes","CFGB79294","OFGB79294","FGB79294","GGB9675","GGB9675_SGB15175"
"Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Scardovia","Scardovia_wiggsiae"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3627","GGB3627_SGB4906"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Diplocloster","Diplocloster_modestus"
"Bacteria","Firmicutes","CFGB3054","OFGB3054","FGB3054","GGB9695","GGB9695_SGB15209"
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella_variicola"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalitalea","Faecalitalea_cylindroides"
"Bacteria","Firmicutes","CFGB1765","OFGB1765","FGB1765","GGB4571","GGB4571_SGB6321"
"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Slackia","Slackia_SGB14781"
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","GGB51960","GGB51960_SGB72480"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus","Coprococcus_SGB106014"
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter_hormaechei"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3600","GGB3600_SGB4859"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","GGB3486","GGB3486_SGB4658"
"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3496","GGB3496_SGB4671"
